Date,Desc,Event,Location,Time
2022-11-07,,Citizenship Class Feldheym,"555 W Sixth St, San Bernardino, CA 92410, United States",1:00 PM
2022-11-07,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2022-11-07,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-11-07,,Villaseñor Bingo,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",6:00 PM
2022-11-08,,Feldheym Conversation Class,"555 West 6th Street, San Bernardino, CA 92410",2:30 PM
2022-11-08,,Inghram Homework Help,"1505 W Highland Ave, San Bernardino, CA 92411",4:00 PM
2022-11-08,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2022-11-08,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-11-08,Create something cute every week with Ms. Kat. ,Feldheym Arts and Crafts,"555 West 6th Street, San Bernardino, CA 92410",5:00 PM
2022-11-08,,Rowe Family Game Night,"108 E Marshall Blvd, San Bernardino, CA",5:30 PM
2022-11-09,,Villaseñor Pre-K Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",11:30 AM
2022-11-09,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-11-09,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-11-09,,Inghram Fall Cupcake Decorating,"1505 W. Highland Ave. San Bernardino, CA 92411",4:00 PM
2022-11-10,,Feldheym Computer Class,"555 West 6th Street, San Bernardino, CA 92410",10:00 AM
2022-11-10,,Feldheym Story Time,"555 West 6th Street, San Bernardino, CA 92410",10:30 AM
2022-11-10,,Rowe Pre-K Story Time,"108 E. Marshall Blvd.San Bernardino, CA 92404",10:30 AM
2022-11-10,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-11-10,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-11-10,,Villaseñor Family Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-11-12,,Inghram Pre-K Story Time,"1505 W. Highland Ave. San Bernardino, CA 92411",11:00 AM
