Date,Desc,Read_more,Title
10/20/2022,"On Friday, May 20, 2022, at about 11:53 pm, a shooting occurred at THA Blue Flame Lounge located at 3606 E. Highland Avenue #102 during a party that was advertised on social media platforms. Numerous callers called 911reporting that multiple people had been shot at the location...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/News/Police%20Dept/Press%20Releases/2022-55843%20Arrest%20updated.pdf,2 SUSPECTS ARRESTED IN CONNECTION WITH SAN BERNARDINO SHOOTING THAT LEFT ONE DEAD AND EIGHT INJURED
10/19/2022,"On Tuesday, October 18, 2022, an armed robbery occurred at an AT&T store in Los Angeles County. During the robbery, four suspects, including one juvenile, forced an employee to open the safe at gunpoint and took over $30,000.00 dollars-worth of cellular phones and other devices...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/2022-115420.pdf,4 SUSPECTS ARRESTED BY SAN BERNARDINO POLICE IN CONNECTION WITH THE ROBBERY OF A LOS ANGELES AREA AT&T STORE
10/18/2022,The San Bernardino Police Department will increase patrols throughout the community and provide other traffic safety programs to help reduce the number of serious injuries and deaths on roads...,https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/Press%20Release%20Grant%20kickoff.pdf,"San Bernardino Police Department Awarded $530,000 Grant to Deter Unsafe Behaviors, Increase Safety on Roads"
10/13/2022,The San Bernardino Police Violent Crimes Unit began investigating an armed take-over bank robbery in November of 2021...,https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/PR%2022-38245.pdf,22-38245 Robbery Suspects Arrested
10/05/2022,"On Friday, September 30, 2022, at about 1:02 p.m., the San Bernardino Police Department call center began receiving 911 calls regarding a shooting that had taken place at the Inland Center Mall located at 500 Inland Center Drive...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/Press%20Release%2022-108581.pdf,2022-108581 Arrested For Attempted Murder
09/22/2022,"On Tuesday, September 20, 2022, at about 8:00 p.m., the San Bernardino Police call center received a 911 call regarding a shooting that had occurred at a local business with a subject down to the front...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/Press%20Release%20%2022-104827.pdf,Homicide 2022-104827
09/14/2022,"During Child Passenger Safety Week, the San Bernardino Police Department will help parents and caregivers with installing child safety seats...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/Passenger%20Safety%20%20PR.pdf,Child Passenger Safety Week is Sept. 18-24
09/13/2022,"On Monday, September 12, 2022, at about 2:20 a.m., the San Bernardino Police call center received a 911 call regarding a possible shooting. Patrol officers were dispatched and found two victims on scene who had been shot...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/Press%20Release%20%2022-101595.pdf,Homicide 22-101595
09/06/2022,"On Tuesday, August 23, 2022, at approximately 3 p.m., San Bernardino Police Homicide detectives conducted a follow-up investigation after receiving information of possible human remains located at a residence within the City and County of San Bernardino...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/Press%20Release%2022-93995.pdf,22-93995 Homicide
09/03/2022,"Police received multiple calls regarding the suspect, Alvon Terry, loitering in a quiet neighborhood cul-de-sac on the city’s westside. Concerned citizens notified police that Terry was looking into homes and vehicles, and he attempted to open windows of homes in the neighborhood...",https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_17442462/File/Government/Department/Police%20Department/Press%20Releases/PRESS%20RELEASE%2022-96495.pdf,Registered Sex Offender on Parole Arrested on Multiple Charges After Prowling Near a Child's Home
